Tabulka výsledků,Přiřazený link,,Správný link,Poznámka
http://psh.ntkcz.cz/skos/PSH2051,http://cs.wikipedia.org/wiki/Optické prostředí,1,,
http://psh.ntkcz.cz/skos/PSH933,http://cs.wikipedia.org/wiki/Výtrusovci,1,,
http://psh.ntkcz.cz/skos/PSH13334,http://cs.wikipedia.org/wiki/Tritikale,1,,
http://psh.ntkcz.cz/skos/PSH4425,http://cs.wikipedia.org/wiki/Sňatečnost,1,,
http://psh.ntkcz.cz/skos/PSH12845,http://cs.wikipedia.org/wiki/Pohlaví,1,,
http://psh.ntkcz.cz/skos/PSH1310,http://cs.wikipedia.org/wiki/Příjem,0,,pro tento termín není na wiki článek
http://psh.ntkcz.cz/skos/PSH1736,http://cs.wikipedia.org/wiki/Elektronické obchodování,1,,
http://psh.ntkcz.cz/skos/PSH2777,http://cs.wikipedia.org/wiki/Mravnost,1,,
http://psh.ntkcz.cz/skos/PSH2962,http://cs.wikipedia.org/wiki/Kinetická energie,1,,
http://psh.ntkcz.cz/skos/PSH10305,http://cs.wikipedia.org/wiki/Korek,1,,
http://psh.ntkcz.cz/skos/PSH8544,http://cs.wikipedia.org/wiki/Vlastenectví,1,,
http://psh.ntkcz.cz/skos/PSH4918,http://cs.wikipedia.org/wiki/Ortorula,1,,
http://psh.ntkcz.cz/skos/PSH11814,http://cs.wikipedia.org/wiki/Designer,1,,
http://psh.ntkcz.cz/skos/PSH12521,http://cs.wikipedia.org/wiki/Rozpoznávání řeči,1,,
http://psh.ntkcz.cz/skos/PSH4626,http://cs.wikipedia.org/wiki/Neogén,1,,
http://psh.ntkcz.cz/skos/PSH1364,http://cs.wikipedia.org/wiki/Mzda,1,,
http://psh.ntkcz.cz/skos/PSH7957,http://cs.wikipedia.org/wiki/Taoismus,1,,
http://psh.ntkcz.cz/skos/PSH11895,http://cs.wikipedia.org/wiki/Muzikál,1,,
http://psh.ntkcz.cz/skos/PSH7130,http://cs.wikipedia.org/wiki/Teorie množin,1,,
http://psh.ntkcz.cz/skos/PSH7545,http://cs.wikipedia.org/wiki/Aproximace,1,,
http://psh.ntkcz.cz/skos/PSH5075,http://cs.wikipedia.org/wiki/Tradice,1,,
http://psh.ntkcz.cz/skos/PSH295,http://cs.wikipedia.org/wiki/Nábřeží,1,,
http://psh.ntkcz.cz/skos/PSH1034,http://cs.wikipedia.org/wiki/Expedice,0,,na wiki není článek k tomuto heslu
http://psh.ntkcz.cz/skos/PSH11675,http://cs.wikipedia.org/wiki/Verismus,1,,
http://psh.ntkcz.cz/skos/PSH6757,http://cs.wikipedia.org/wiki/Latina,1,,
http://psh.ntkcz.cz/skos/PSH3672,http://cs.wikipedia.org/wiki/Uhlíkový cyklus,1,,
http://psh.ntkcz.cz/skos/PSH6459,http://cs.wikipedia.org/wiki/Slovníky,0,http://cs.wikipedia.org/wiki/Slovn%C3%ADk,mělo by odkazovat na: 
http://psh.ntkcz.cz/skos/PSH7210,http://cs.wikipedia.org/wiki/Celá čísla,1,,
http://psh.ntkcz.cz/skos/PSH699,http://cs.wikipedia.org/wiki/Pohrudnice,1,,
http://psh.ntkcz.cz/skos/PSH5668,http://cs.wikipedia.org/wiki/Redoxní potenciál,1,,
http://psh.ntkcz.cz/skos/PSH7886,http://cs.wikipedia.org/wiki/Ekumenismus,1,,
http://psh.ntkcz.cz/skos/PSH5141,http://cs.wikipedia.org/wiki/Indologie,1,,
http://psh.ntkcz.cz/skos/PSH13330,http://cs.wikipedia.org/wiki/Ječmen,1,,
http://psh.ntkcz.cz/skos/PSH5458,http://cs.wikipedia.org/wiki/Izomerie,1,,
http://psh.ntkcz.cz/skos/PSH12040,http://cs.wikipedia.org/wiki/Minerální prameny,1,,
http://psh.ntkcz.cz/skos/PSH6196,http://cs.wikipedia.org/wiki/Lipoproteiny,1,,
http://psh.ntkcz.cz/skos/PSH9942,http://cs.wikipedia.org/wiki/Fotbal,1,,
http://psh.ntkcz.cz/skos/PSH9905,http://cs.wikipedia.org/wiki/Sportovní soutěže,0,http://cs.wikipedia.org/wiki/Sport,"neexistuje přesný článek, možná by šel obecnější sport: "
http://psh.ntkcz.cz/skos/PSH9863,http://cs.wikipedia.org/wiki/Modulace,1,,
http://psh.ntkcz.cz/skos/PSH4260,http://cs.wikipedia.org/wiki/Mapy,1,,
http://psh.ntkcz.cz/skos/PSH12194,http://cs.wikipedia.org/wiki/Studená válka,1,,
http://psh.ntkcz.cz/skos/PSH4924,http://cs.wikipedia.org/wiki/Eklogit,1,,
http://psh.ntkcz.cz/skos/PSH947,http://cs.wikipedia.org/wiki/Strunatci,1,,
http://psh.ntkcz.cz/skos/PSH2075,http://cs.wikipedia.org/wiki/Optoelektronika,1,,
http://psh.ntkcz.cz/skos/PSH3659,http://cs.wikipedia.org/wiki/Přirozená radioaktivita,1,,
http://psh.ntkcz.cz/skos/PSH731,http://cs.wikipedia.org/wiki/Tykadla,1,,
http://psh.ntkcz.cz/skos/PSH13199,http://cs.wikipedia.org/wiki/Zdraví,1,,
http://psh.ntkcz.cz/skos/PSH13436,http://cs.wikipedia.org/wiki/Laktace,1,,
http://psh.ntkcz.cz/skos/PSH764,http://cs.wikipedia.org/wiki/Elektrofyziologie,0,http://cs.wikipedia.org/wiki/Fyziologie,"neexistuje článek na tento termín, obecnější "
http://psh.ntkcz.cz/skos/PSH13705,http://cs.wikipedia.org/wiki/Paralelní programování,1,,
http://psh.ntkcz.cz/skos/PSH7331,http://cs.wikipedia.org/wiki/Algebraická geometrie,1,,
http://psh.ntkcz.cz/skos/PSH7768,http://cs.wikipedia.org/wiki/Výpočetní složitost,1,,
http://psh.ntkcz.cz/skos/PSH5160,http://cs.wikipedia.org/wiki/Pomocné vědy historické,1,,
http://psh.ntkcz.cz/skos/PSH3038,http://cs.wikipedia.org/wiki/Teplotní roztažnost,1,,
http://psh.ntkcz.cz/skos/PSH6293,http://cs.wikipedia.org/wiki/Parathormon,1,,
http://psh.ntkcz.cz/skos/PSH9214,http://cs.wikipedia.org/wiki/Obecná psychologie,1,,
http://psh.ntkcz.cz/skos/PSH863,http://cs.wikipedia.org/wiki/Mykologie,1,,
http://psh.ntkcz.cz/skos/PSH1529,http://cs.wikipedia.org/wiki/Kapitalismus,1,,
http://psh.ntkcz.cz/skos/PSH854,http://cs.wikipedia.org/wiki/Botanika,1,,
http://psh.ntkcz.cz/skos/PSH12494,http://cs.wikipedia.org/wiki/XML,1,,
http://psh.ntkcz.cz/skos/PSH6302,http://cs.wikipedia.org/wiki/Fytohormony,1,,
http://psh.ntkcz.cz/skos/PSH9351,http://cs.wikipedia.org/wiki/Tréma,1,,
http://psh.ntkcz.cz/skos/PSH8139,http://cs.wikipedia.org/wiki/Speciální pedagogika,1,,
http://psh.ntkcz.cz/skos/PSH13081,http://cs.wikipedia.org/wiki/Farmakologie,1,,
http://psh.ntkcz.cz/skos/PSH5841,http://cs.wikipedia.org/wiki/Anorganické sloučeniny,1,,
http://psh.ntkcz.cz/skos/PSH6527,http://cs.wikipedia.org/wiki/Informační systémy,1,,
http://psh.ntkcz.cz/skos/PSH10248,http://cs.wikipedia.org/wiki/Hračky,1,,
http://psh.ntkcz.cz/skos/PSH12046,http://cs.wikipedia.org/wiki/Zavlažování,1,,
http://psh.ntkcz.cz/skos/PSH6901,http://cs.wikipedia.org/wiki/Stylistika,1,,
http://psh.ntkcz.cz/skos/PSH11969,http://cs.wikipedia.org/wiki/Přírodní vědy,1,,
http://psh.ntkcz.cz/skos/PSH8333,http://cs.wikipedia.org/wiki/Diplomacie,1,,
http://psh.ntkcz.cz/skos/PSH9529,http://cs.wikipedia.org/wiki/Sociální darwinismus,1,,
http://psh.ntkcz.cz/skos/PSH12255,http://cs.wikipedia.org/wiki/Opevnění,1,,
http://psh.ntkcz.cz/skos/PSH7853,http://cs.wikipedia.org/wiki/Církevní dějiny,1,,
http://psh.ntkcz.cz/skos/PSH4046,http://cs.wikipedia.org/wiki/Hydrosféra,1,,
http://psh.ntkcz.cz/skos/PSH12291,http://cs.wikipedia.org/wiki/Balistické střely,0,http://cs.wikipedia.org/wiki/Balistick%C3%A1_st%C5%99ela,mělo by odkazovat sem:
http://psh.ntkcz.cz/skos/PSH2463,http://cs.wikipedia.org/wiki/Větrné elektrárny,1,,
http://psh.ntkcz.cz/skos/PSH665,http://cs.wikipedia.org/wiki/Kosti,1,,
http://psh.ntkcz.cz/skos/PSH6960,http://cs.wikipedia.org/wiki/Pikareskní román,1,,
http://psh.ntkcz.cz/skos/PSH7993,http://cs.wikipedia.org/wiki/Automatizace,1,,
http://psh.ntkcz.cz/skos/PSH13626,http://cs.wikipedia.org/wiki/Internetová telefonie,1,,
http://psh.ntkcz.cz/skos/PSH11857,http://cs.wikipedia.org/wiki/Hudba,1,,
http://psh.ntkcz.cz/skos/PSH4619,http://cs.wikipedia.org/wiki/Perm,1,,
http://psh.ntkcz.cz/skos/PSH574,http://cs.wikipedia.org/wiki/Obecná biologie,1,,
http://psh.ntkcz.cz/skos/PSH42,http://cs.wikipedia.org/wiki/Etnogeneze,1,,
http://psh.ntkcz.cz/skos/PSH11888,http://cs.wikipedia.org/wiki/Dramaturgie,1,,
http://psh.ntkcz.cz/skos/PSH13697,http://cs.wikipedia.org/wiki/Dřevostavby,1,,
http://psh.ntkcz.cz/skos/PSH3726,http://cs.wikipedia.org/wiki/Senzory,1,,
http://psh.ntkcz.cz/skos/PSH13835,http://cs.wikipedia.org/wiki/Stirlingův motor,1,,
http://psh.ntkcz.cz/skos/PSH11762,http://cs.wikipedia.org/wiki/Koláž,1,,
http://psh.ntkcz.cz/skos/PSH1248,http://cs.wikipedia.org/wiki/Riziko,1,,
http://psh.ntkcz.cz/skos/PSH12663,http://cs.wikipedia.org/wiki/Leukemie,1,,
http://psh.ntkcz.cz/skos/PSH13752,http://cs.wikipedia.org/wiki/Rádiové vlny,1,,
http://psh.ntkcz.cz/skos/PSH737,http://cs.wikipedia.org/wiki/Mozek,1,,
http://psh.ntkcz.cz/skos/PSH10322,http://cs.wikipedia.org/wiki/Odpady,1,,
http://psh.ntkcz.cz/skos/PSH11777,http://cs.wikipedia.org/wiki/Past,0,,neexistuje článek
http://psh.ntkcz.cz/skos/PSH1290,http://cs.wikipedia.org/wiki/Výroba,1,,
http://psh.ntkcz.cz/skos/PSH3728,http://cs.wikipedia.org/wiki/Polarimetrie,1,,
http://psh.ntkcz.cz/skos/PSH6862,http://cs.wikipedia.org/wiki/Citoslovce,1,,
http://psh.ntkcz.cz/skos/PSH6058,http://cs.wikipedia.org/wiki/Porfyriny,1,,
http://psh.ntkcz.cz/skos/PSH170,http://cs.wikipedia.org/wiki/Průmyslové stavby,0,,neexistuje přesný článek na wiki
http://psh.ntkcz.cz/skos/PSH733,http://cs.wikipedia.org/wiki/Nervy,1,,
http://psh.ntkcz.cz/skos/PSH7457,http://cs.wikipedia.org/wiki/Taylorův rozvoj,1,,
http://psh.ntkcz.cz/skos/PSH7216,http://cs.wikipedia.org/wiki/Rovnice,1,,
http://psh.ntkcz.cz/skos/PSH6739,http://cs.wikipedia.org/wiki/Arménština,1,,
http://psh.ntkcz.cz/skos/PSH283,http://cs.wikipedia.org/wiki/Ulice,1,,
http://psh.ntkcz.cz/skos/PSH12761,http://cs.wikipedia.org/wiki/Imunoterapie,1,,
http://psh.ntkcz.cz/skos/PSH12372,http://cs.wikipedia.org/wiki/Síťové protokoly,0,http://cs.wikipedia.org/wiki/S%C3%AD%C5%A5ov%C3%BD_protokol,mělo by odkazovat sem: 
http://psh.ntkcz.cz/skos/PSH4715,http://cs.wikipedia.org/wiki/Fluorit,1,,
http://psh.ntkcz.cz/skos/PSH3166,http://cs.wikipedia.org/wiki/Einsteinova teorie gravitace,1,,
http://psh.ntkcz.cz/skos/PSH5914,http://cs.wikipedia.org/wiki/Organická chemie,1,,
http://psh.ntkcz.cz/skos/PSH2236,http://cs.wikipedia.org/wiki/Jistič,1,,
http://psh.ntkcz.cz/skos/PSH4899,http://cs.wikipedia.org/wiki/Kaustobiolity,1,,
http://psh.ntkcz.cz/skos/PSH11872,http://cs.wikipedia.org/wiki/Komorní hudba,1,,
http://psh.ntkcz.cz/skos/PSH10118,http://cs.wikipedia.org/wiki/Obuv,1,,
http://psh.ntkcz.cz/skos/PSH923,http://cs.wikipedia.org/wiki/Hlodavci,1,,
http://psh.ntkcz.cz/skos/PSH1730,http://cs.wikipedia.org/wiki/Dumping,1,,
http://psh.ntkcz.cz/skos/PSH11140,http://cs.wikipedia.org/wiki/Sportovní letadla,0,http://cs.wikipedia.org/wiki/Sportovn%C3%AD_letadlo,mělo by odkazovat sem: 
http://psh.ntkcz.cz/skos/PSH92,http://cs.wikipedia.org/wiki/Etnomuzikologie,1,,
http://psh.ntkcz.cz/skos/PSH191,http://cs.wikipedia.org/wiki/Klenby,1,http://cs.wikipedia.org/wiki/Klenba,mělo by odkazovat sem:
http://psh.ntkcz.cz/skos/PSH5767,http://cs.wikipedia.org/wiki/Tantal,1,,
http://psh.ntkcz.cz/skos/PSH553,http://cs.wikipedia.org/wiki/Hubbleův teleskop,1,,
http://psh.ntkcz.cz/skos/PSH4091,http://cs.wikipedia.org/wiki/Tropický pás,1,,
http://psh.ntkcz.cz/skos/PSH5662,http://cs.wikipedia.org/wiki/Odměrná analýza,1,,
http://psh.ntkcz.cz/skos/PSH9306,http://cs.wikipedia.org/wiki/Adaptace,1,,
http://psh.ntkcz.cz/skos/PSH5659,http://cs.wikipedia.org/wiki/Skleněná elektroda,1,,
http://psh.ntkcz.cz/skos/PSH5522,http://cs.wikipedia.org/wiki/Eliminace,1,http://cs.wikipedia.org/wiki/Eliminace_%28chemie%29,"jde o obor chemie, takže by mělo odkazovat sem: "
http://psh.ntkcz.cz/skos/PSH13033,http://cs.wikipedia.org/wiki/Otorinolaryngologie,1,,
http://psh.ntkcz.cz/skos/PSH4609,http://cs.wikipedia.org/wiki/Starohory,1,,
http://psh.ntkcz.cz/skos/PSH516,http://cs.wikipedia.org/wiki/Kosmologie,1,,
http://psh.ntkcz.cz/skos/PSH13220,http://cs.wikipedia.org/wiki/Zemědělství,1,,
http://psh.ntkcz.cz/skos/PSH13048,http://cs.wikipedia.org/wiki/Dermatologie,1,,
http://psh.ntkcz.cz/skos/PSH12910,http://cs.wikipedia.org/wiki/Pedofilie,1,,
http://psh.ntkcz.cz/skos/PSH11092,http://cs.wikipedia.org/wiki/Traktory,0,http://cs.wikipedia.org/wiki/Traktor,mělo by odkazovat na traktor 
http://psh.ntkcz.cz/skos/PSH6093,http://cs.wikipedia.org/wiki/Polystyren,1,,
http://psh.ntkcz.cz/skos/PSH4357,http://cs.wikipedia.org/wiki/Oceány,1,,
http://psh.ntkcz.cz/skos/PSH8493,http://cs.wikipedia.org/wiki/Reálná unie,1,,
http://psh.ntkcz.cz/skos/PSH934,http://cs.wikipedia.org/wiki/Myxozoa,1,,
http://psh.ntkcz.cz/skos/PSH8635,http://cs.wikipedia.org/wiki/Jehněčí maso,1,,
http://psh.ntkcz.cz/skos/PSH7382,http://cs.wikipedia.org/wiki/Spojité zobrazení,1,,
http://psh.ntkcz.cz/skos/PSH5041,http://cs.wikipedia.org/wiki/Svahové pohyby,0,http://cs.wikipedia.org/wiki/Svahov%C3%BD_pohyb,mělo by odkazovat sem: 
http://psh.ntkcz.cz/skos/PSH815,http://cs.wikipedia.org/wiki/Cytogenetika,1,,
http://psh.ntkcz.cz/skos/PSH5857,http://cs.wikipedia.org/wiki/Silikagel,1,,
http://psh.ntkcz.cz/skos/PSH12759,http://cs.wikipedia.org/wiki/Krevní transfuze,1,,
http://psh.ntkcz.cz/skos/PSH1147,http://cs.wikipedia.org/wiki/Tramvajová doprava,1,,
http://psh.ntkcz.cz/skos/PSH9171,http://cs.wikipedia.org/wiki/Mezinárodní smlouvy,0,http://cs.wikipedia.org/wiki/Mezin%C3%A1rodn%C3%AD_smlouva,mělo by odkazovat sem
http://psh.ntkcz.cz/skos/PSH3548,http://cs.wikipedia.org/wiki/Kvantová fyzika,1,,
http://psh.ntkcz.cz/skos/PSH10045,http://cs.wikipedia.org/wiki/Kulturistika,1,,
http://psh.ntkcz.cz/skos/PSH13046,http://cs.wikipedia.org/wiki/Imunosuprese,1,,
http://psh.ntkcz.cz/skos/PSH10262,http://cs.wikipedia.org/wiki/Akumulační kamna,1,,
http://psh.ntkcz.cz/skos/PSH902,http://cs.wikipedia.org/wiki/Měkkýši,1,,
http://psh.ntkcz.cz/skos/PSH4356,http://cs.wikipedia.org/wiki/Oceánografie,1,,
http://psh.ntkcz.cz/skos/PSH589,http://cs.wikipedia.org/wiki/Molekulární biologie,1,,
http://psh.ntkcz.cz/skos/PSH1850,http://cs.wikipedia.org/wiki/Operační zesilovač,1,,
http://psh.ntkcz.cz/skos/PSH8319,http://cs.wikipedia.org/wiki/Mezinárodní organizace,1,,
http://psh.ntkcz.cz/skos/PSH11850,http://cs.wikipedia.org/wiki/Reportážní fotografie,1,,
http://psh.ntkcz.cz/skos/PSH4812,http://cs.wikipedia.org/wiki/Horniny,1,,
http://psh.ntkcz.cz/skos/PSH11059,http://cs.wikipedia.org/wiki/Nákladní automobily,1,,
http://psh.ntkcz.cz/skos/PSH928,http://cs.wikipedia.org/wiki/Kytovci,1,,
http://psh.ntkcz.cz/skos/PSH12017,http://cs.wikipedia.org/wiki/Hydrografie,1,,
http://psh.ntkcz.cz/skos/PSH886,http://cs.wikipedia.org/wiki/Psi,0,http://cs.wikipedia.org/wiki/Pes,mělo by odkazovat na 
http://psh.ntkcz.cz/skos/PSH6548,http://cs.wikipedia.org/wiki/Informatika,1,,
http://psh.ntkcz.cz/skos/PSH6413,http://cs.wikipedia.org/wiki/Pigmenty,1,,
http://psh.ntkcz.cz/skos/PSH2964,http://cs.wikipedia.org/wiki/Výkon,1,,
http://psh.ntkcz.cz/skos/PSH9721,http://cs.wikipedia.org/wiki/Vandalismus,1,,
http://psh.ntkcz.cz/skos/PSH12723,http://cs.wikipedia.org/wiki/Elektromyografie,1,,
http://psh.ntkcz.cz/skos/PSH10084,http://cs.wikipedia.org/wiki/Zušlechťování textilií,0,,neexistuje článek
http://psh.ntkcz.cz/skos/PSH918,http://cs.wikipedia.org/wiki/Ptáci,1,,
http://psh.ntkcz.cz/skos/PSH6872,http://cs.wikipedia.org/wiki/Věta,1,,